antecedent,risk,support,confidence,lift
"DBP_normal, Temp_fever",Risk_high,0.06208425720620843,0.5090909090909091,2.0500000000000003
"Age_older, BS_high",Risk_high,0.11086474501108648,0.5050505050505051,2.0337301587301586
"Age_young, DBP_normal, SBP_normal, Temp_fever",Risk_high,0.04434589800443459,0.5,2.013392857142857
"Age_young, SBP_normal, Temp_fever",Risk_high,0.04434589800443459,0.5,2.013392857142857
"DBP_normal, SBP_normal, Temp_fever",Risk_high,0.057649667405764965,0.5,2.013392857142857
"SBP_normal, Temp_fever",Risk_high,0.057649667405764965,0.5,2.013392857142857
"Age_young, BS_high, SBP_normal, Temp_fever",Risk_high,0.037694013303769404,0.5,2.013392857142857
"Age_young, BS_high, DBP_normal, SBP_normal, Temp_fever",Risk_high,0.037694013303769404,0.5,2.013392857142857
"Age_young, BS_high, DBP_normal, Temp_fever",Risk_high,0.037694013303769404,0.5,2.013392857142857
"Age_young, DBP_normal, Temp_fever",Risk_high,0.04434589800443459,0.5,2.013392857142857
"Age_young, BS_high, SBP_normal, Temp_normal",Risk_low,0.04212860310421286,1.0,1.9356223175965666
"Age_young, BS_high, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.04212860310421286,1.0,1.9356223175965666
"Age_young, BS_high, DBP_normal, Temp_normal",Risk_low,0.05321507760532151,1.0,1.9356223175965666
"Age_young, BS_high, Temp_normal",Risk_low,0.07760532150776053,0.8974358974358975,1.7370969516892265
"Age_young, DBP_normal, Temp_normal",Risk_low,0.10199556541019955,0.8363636363636363,1.6188841201716737
"Age_young, SBP_normal, Temp_normal",Risk_low,0.08869179600886919,0.8333333333333334,1.613018597997139
"Age_young, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.08869179600886919,0.8333333333333334,1.613018597997139
"Age_adult, BS_high, DBP_elevated, SBP_elevated, Temp_normal",Risk_low,0.03991130820399113,0.8181818181818181,1.5836909871244635
"Age_young, BS_high, SBP_elevated, Temp_normal",Risk_low,0.03547671840354767,0.7999999999999999,1.5484978540772532
"Age_young, Temp_normal",Risk_low,0.13747228381374724,0.7948717948717949,1.5385715857818865
"Age_adult, BS_normal, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.03991130820399113,0.782608695652174,1.514834857249487
"Age_young, DBP_elevated, SBP_elevated, Temp_normal",Risk_low,0.031042128603104215,0.7777777777777779,1.5054840247973298
"Age_young, DBP_elevated, Temp_normal",Risk_low,0.031042128603104215,0.7777777777777779,1.5054840247973298
"BS_high, SBP_normal, Temp_normal",Risk_low,0.12638580931263857,0.7702702702702702,1.490952325716274
"BS_high, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.10864745011086474,0.765625,1.4819608369098713
"DBP_normal, SBP_normal, Temp_normal",Risk_low,0.21507760532150777,0.7637795275590551,1.478388699266669
"BS_normal, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.10643015521064302,0.761904761904762,1.4747598610259556
"Age_older, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.04878048780487805,0.7586206896551725,1.4684031374870508
"Age_adult, BS_high, DBP_elevated, Temp_normal",Risk_low,0.04878048780487805,0.7586206896551725,1.4684031374870508
"SBP_normal, Temp_normal",Risk_low,0.24168514412416853,0.7517241379310344,1.45505401805535
"Age_adult, BS_normal, DBP_normal, SBP_normal",Risk_low,0.03991130820399113,0.75,1.451716738197425
"Age_older, SBP_normal, Temp_normal",Risk_low,0.050997782705099776,0.7419354838709676,1.4361068807974524
"Age_young, BS_high, SBP_elevated",Risk_low,0.037694013303769404,0.7391304347826088,1.430677365180071
"Age_young, SBP_elevated, Temp_normal",Risk_low,0.04878048780487805,0.7333333333333334,1.4194563662374824
"Age_adult, DBP_elevated, SBP_elevated, Temp_normal",Risk_low,0.04878048780487805,0.7333333333333334,1.4194563662374824
"BS_normal, SBP_normal, Temp_normal",Risk_low,0.11529933481152993,0.732394366197183,1.4176388804932598
"Age_adult, BS_normal, SBP_normal, Temp_normal",Risk_low,0.04656319290465632,0.7241379310344828,1.4016575403285483
"Age_young, BS_normal, SBP_normal, Temp_normal",Risk_low,0.04656319290465632,0.7241379310344828,1.4016575403285483
"Age_young, BS_normal, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.04656319290465632,0.7241379310344828,1.4016575403285483
"Age_older, BS_normal, SBP_elevated",Risk_low,0.03325942350332594,0.7142857142857142,1.3825873697118332
"Age_young, BS_normal, DBP_normal, Temp_normal",Risk_low,0.04878048780487805,0.7096774193548387,1.3736674511975635
"Age_older, DBP_normal, Temp_normal",Risk_low,0.05321507760532151,0.7058823529411764,1.3663216359505175
"BS_normal, DBP_normal, Temp_normal",Risk_low,0.1197339246119734,0.7012987012987013,1.3574494175352545
"Age_adult, DBP_high, SBP_elevated, Temp_normal",Risk_low,0.04656319290465632,0.7000000000000001,1.3549356223175968
"Age_adult, BS_normal, SBP_normal",Risk_low,0.04656319290465632,0.7000000000000001,1.3549356223175968
"Age_adult, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.07760532150776053,0.7,1.3549356223175966
"Age_adult, DBP_elevated, Temp_normal",Risk_low,0.06208425720620843,0.7,1.3549356223175966
"Age_adult, SBP_normal, Temp_normal",Risk_low,0.10199556541019955,0.696969696969697,1.3490701001430616
"Age_older, DBP_normal, SBP_normal",Risk_low,0.050997782705099776,0.696969696969697,1.3490701001430616
"BS_normal, DBP_normal, SBP_normal",Risk_low,0.11086474501108648,0.6944444444444445,1.3441821649976158
"Age_young, BS_normal, Temp_normal",Risk_low,0.0598669623059867,0.6923076923076923,1.3400462198745462
"Age_adult, BS_high, DBP_elevated, SBP_elevated",Risk_low,0.03991130820399113,0.6923076923076923,1.3400462198745462
"Age_older, BS_normal, Temp_normal",Risk_low,0.04878048780487805,0.6875,1.3307403433476395
"Age_older, SBP_normal",Risk_low,0.05321507760532151,0.6857142857142857,1.32728387492336
"DBP_normal, Temp_normal",Risk_low,0.25055432372505543,0.6848484848484848,1.3256080114449214
"Age_older, BS_normal",Risk_low,0.057649667405764965,0.6842105263157895,1.324373164671335
"Age_adult, BS_high, SBP_normal, Temp_normal",Risk_low,0.05543237250554324,0.6756756756756757,1.3078529172949773
"BS_normal, SBP_normal",Risk_low,0.1197339246119734,0.6749999999999999,1.3065450643776824
"BS_high, DBP_normal, Temp_normal",Risk_low,0.13082039911308205,0.6704545454545455,1.29774678111588
"Age_adult, BS_high, DBP_elevated",Risk_low,0.04878048780487805,0.6666666666666667,1.2904148783977112
"Age_young, SBP_elevated",Risk_low,0.05321507760532151,0.6666666666666667,1.2904148783977112
"Age_young, DBP_elevated, SBP_elevated",Risk_low,0.03547671840354767,0.6666666666666666,1.290414878397711
"Age_young, DBP_elevated",Risk_low,0.03547671840354767,0.6666666666666666,1.290414878397711
"Age_adult, BS_normal, DBP_normal, Temp_normal",Risk_low,0.04656319290465632,0.65625,1.270252145922747
"BS_normal, DBP_high, SBP_elevated, Temp_normal",Risk_low,0.03325942350332594,0.6521739130434783,1.2623623810412392
"BS_normal, Temp_normal",Risk_low,0.19068736141906872,0.6515151515151515,1.2610872675250357
"Age_adult, DBP_elevated, SBP_elevated",Risk_low,0.05321507760532151,0.6486486486486486,1.2555388006031782
"Age_adult, DBP_high, SBP_elevated",Risk_low,0.04878048780487805,0.6470588235294118,1.252461499621308
"BS_normal, DBP_normal",Risk_low,0.12416851441241686,0.6436781609195402,1.2459178136253761
"BS_normal, DBP_elevated, SBP_elevated",Risk_low,0.03991130820399113,0.6428571428571428,1.2443286327406498
"Age_older, DBP_normal",Risk_low,0.05543237250554324,0.6410256410256411,1.2407835369208762
"Age_adult, DBP_elevated",Risk_low,0.06651884700665188,0.6382978723404255,1.2355036069765317
"DBP_elevated, SBP_elevated, Temp_normal",Risk_low,0.12195121951219512,0.632183908045977,1.2236692812392087
"Age_adult, BS_high, DBP_normal, SBP_normal, Temp_normal",Risk_low,0.037694013303769404,0.6296296296296297,1.2187251629311717
"Age_young, BS_normal, DBP_normal, SBP_normal",Risk_low,0.04878048780487805,0.6285714285714286,1.2166768853464134
"Age_young, BS_normal, SBP_normal",Risk_low,0.04878048780487805,0.6285714285714286,1.2166768853464134
"BS_high, DBP_elevated, SBP_elevated, Temp_normal",Risk_low,0.09312638580931264,0.6268656716417911,1.213375184165012
"Age_adult, SBP_normal",Risk_low,0.10199556541019955,0.6216216216216215,1.203224683911379
"Age_young, BS_normal, DBP_normal",Risk_low,0.050997782705099776,0.6216216216216215,1.203224683911379
"BS_normal, DBP_elevated",Risk_low,0.04656319290465632,0.6176470588235293,1.1955314314567027
"Age_adult, BS_normal, DBP_normal",Risk_low,0.04656319290465632,0.6176470588235293,1.1955314314567027
"BS_normal, DBP_high, SBP_elevated",Risk_low,0.03547671840354767,0.6153846153846154,1.1911521954440412
"BS_normal, DBP_elevated, Temp_normal",Risk_low,0.03547671840354767,0.6153846153846154,1.1911521954440412
SBP_normal,Risk_low,0.2682926829268293,0.6142131979695432,1.188884773752206
"Age_adult, BS_high, SBP_elevated, Temp_normal",Risk_low,0.07760532150776053,0.6140350877192983,1.1885400195768392
"DBP_normal, SBP_normal",Risk_low,0.24168514412416853,0.6089385474860335,1.178675042558803
"DBP_elevated, Temp_normal",Risk_low,0.13747228381374724,0.607843137254902,1.1765547420685014
"Age_adult, BS_normal, Temp_normal",Risk_low,0.082039911308204,0.6065573770491803,1.174065995919229
BS_normal,Risk_low,0.20842572062084258,0.6064516129032258,1.1738612764779177
"BS_high, DBP_elevated, Temp_normal",Risk_low,0.10199556541019955,0.6052631578947368,1.1715608764400272
"Age_young, BS_high",Risk_low,0.10199556541019955,0.6052631578947368,1.1715608764400272
"Age_adult, DBP_normal, SBP_normal",Risk_low,0.07760532150776053,0.603448275862069,1.1680479502737902
"Age_young, DBP_normal",Risk_low,0.12638580931263857,0.6,1.16137339055794
Age_young,Risk_low,0.1662971175166297,0.6,1.16137339055794
"BS_normal, SBP_elevated, Temp_normal",Risk_low,0.07538802660753881,0.5964912280701755,1.1545817333032153
"Age_adult, SBP_elevated, Temp_normal",Risk_low,0.1130820399113082,0.5930232558139535,1.1478690488072663
"DBP_elevated, SBP_elevated",Risk_low,0.1352549889135255,0.5922330097087378,1.146339430809617
"Age_young, BS_normal",Risk_low,0.06430155210643015,0.5918367346938775,1.1455723920469476
"Age_young, BS_high, DBP_normal",Risk_low,0.07538802660753881,0.5862068965517242,1.1346751516945393
"BS_normal, SBP_elevated",Risk_low,0.08869179600886919,0.5797101449275363,1.1220998942588793
"Age_young, SBP_normal",Risk_low,0.1130820399113082,0.5795454545454545,1.1217811158798283
"Age_young, DBP_normal, SBP_normal",Risk_low,0.1130820399113082,0.5795454545454545,1.1217811158798283
"Age_adult, Temp_normal",Risk_low,0.21507760532150777,0.5773809523809524,1.117591457183732
Temp_normal,Risk_low,0.4722838137472284,0.5741239892183289,1.111287206598568
"Age_adult, BS_normal",Risk_low,0.08647450110864745,0.5735294117647058,1.1101363292097954
"BS_high, DBP_elevated, SBP_elevated",Risk_low,0.09534368070953436,0.5733333333333334,1.1097567954220315
"BS_high, SBP_normal",Risk_low,0.14855875831485588,0.5726495726495727,1.1084332929826495
DBP_elevated,Risk_low,0.15077605321507762,0.5714285714285715,1.1060698957694668
"Age_adult, BS_high, SBP_normal",Risk_low,0.05543237250554324,0.5681818181818182,1.099785407725322
DBP_normal,Risk_low,0.2771618625277162,0.5681818181818182,1.099785407725322
"Age_adult, DBP_normal, Temp_normal",Risk_low,0.09534368070953436,0.5657894736842105,1.095154732324373
"Age_adult, BS_high, SBP_elevated",Risk_low,0.07982261640798226,0.5625,1.0887875536480687
"Age_adult, BS_high, Temp_normal",Risk_low,0.13303769401330376,0.5607476635514018,1.0853956921102241
"SBP_elevated, Temp_normal",Risk_low,0.23059866962305986,0.5561497326203209,1.0764958343852562
"BS_high, DBP_elevated",Risk_low,0.10421286031042129,0.5529411764705883,1.0702852814945722
"Age_adult, BS_normal, SBP_elevated, Temp_normal",Risk_low,0.03547671840354767,0.5517241379310345,1.0679295545360368
"BS_normal, DBP_high, Temp_normal",Risk_low,0.03547671840354767,0.5517241379310345,1.0679295545360368
"BS_high, DBP_normal, SBP_normal",Risk_low,0.13082039911308205,0.5514018691588786,1.0673057639083874
"Age_young, BS_high, SBP_normal",Risk_low,0.06430155210643015,0.5471698113207547,1.0591140983075553
"Age_young, BS_high, DBP_normal, SBP_normal",Risk_low,0.06430155210643015,0.5471698113207547,1.0591140983075553
"Age_adult, SBP_elevated",Risk_low,0.1197339246119734,0.5454545454545454,1.055793991416309
"BS_high, SBP_elevated, Temp_normal",Risk_low,0.15521064301552107,0.5384615384615384,1.042258171013536
"DBP_high, SBP_elevated, Temp_normal",Risk_low,0.07317073170731707,0.532258064516129,1.0302505883981725
"BS_high, Temp_normal",Risk_low,0.28159645232815966,0.5313807531380754,1.0285524449153305
SBP_elevated,Risk_low,0.24833702882483372,0.5308056872037915,1.027439334458841
Age_adult,Risk_low,0.22172949002217296,0.5291005291005291,1.0241387923791356
"DBP_high, SBP_elevated",Risk_low,0.07760532150776053,0.5223880597014925,1.0111459868041766
"BS_high, DBP_normal",Risk_low,0.15299334811529933,0.5187969924812029,1.0041950369485946
