Employee_ID,Department,Experience_Years,Age,Salary,Performance_Score,Work_Hours,Overtime,Satisfaction_Level
119,Engineering,18,55,61645,8.7,40.9,No,5.9
120,HR,0,27,57240,9.7,41.3,No,6.9
121,HR,4,23,67706,7.8,31.9,No,6.3
122,Sales,12,34,55584,5.0,41.9,No,6.1
123,Finance,3,32,81224,3.8,45.3,Yes,6.2
124,Marketing,15,44,61875,3.9,35.4,No,5.5
125,Engineering,15,37,56147,7.5,42.2,Yes,5.8
126,Sales,1,52,75364,7.7,44.5,Yes,4.9
127,Finance,16,32,35662,2.8,42.9,Yes,7.3
128,Sales,19,37,65114,8.8,43.4,Yes,7.2
129,Finance,11,29,60383,7.4,38.8,No,5.1
130,Finance,17,25,38837,6.1,34.4,No,6.9
131,Marketing,2,25,34372,5.2,37.8,No,7.3
132,Finance,0,46,75155,5.9,37.1,No,7.1
133,Sales,0,24,74441,2.4,39.6,No,6.1
134,Finance,18,53,62588,2.8,45.5,Yes,6.8
135,Marketing,10,24,85749,1.8,33.4,No,5.8
136,Marketing,4,48,66614,2.4,40.7,No,5.6
137,Sales,11,50,78747,5.1,34.7,No,5.7
138,HR,2,53,66304,5.8,36.3,No,7.2
139,HR,0,40,55862,1.2,42.8,Yes,5.1
140,Finance,0,42,44137,8.2,34.1,No,6.4
141,Engineering,7,26,50948,3.6,43.7,Yes,6.2
142,Finance,9,39,56143,9.2,33.2,No,7.4
143,Sales,10,49,80447,9.7,43.3,Yes,4.8
144,Sales,11,43,71548,2.7,32.3,No,7.8
145,Sales,12,42,64954,5.2,36.9,No,6.8
146,Sales,11,27,73050,1.0,49.5,Yes,4.0
147,Sales,13,22,67910,6.4,48.5,Yes,3.8
148,Marketing,1,26,63929,6.5,37.9,No,6.2
149,HR,18,33,37520,3.2,41.9,No,6.7
150,Sales,17,47,77087,6.0,46.0,Yes,6.3
151,Engineering,2,55,53122,3.0,43.4,Yes,6.0
152,Engineering,16,35,76328,2.4,38.6,No,6.2
153,Engineering,7,47,77778,6.9,36.3,No,6.9
154,Engineering,9,48,49949,3.9,44.3,Yes,4.7
155,Marketing,1,30,74245,6.3,45.7,Yes,7.1
156,Engineering,18,47,54585,4.9,48.6,Yes,6.8
157,Sales,8,43,54674,9.9,31.6,No,7.3
158,Finance,6,51,63862,2.3,33.7,No,6.8
159,Engineering,3,38,64267,5.2,45.8,Yes,5.0
160,Marketing,20,47,60578,7.1,32.2,No,7.3
161,Marketing,17,57,39985,4.6,46.2,Yes,4.7
162,Engineering,12,22,58178,9.8,38.9,No,3.9
163,Finance,10,29,94177,7.5,37.4,No,3.5
164,Engineering,3,56,18239,6.9,41.0,No,5.1
165,Marketing,20,36,73046,7.8,33.3,No,6.8
166,HR,3,43,75856,9.6,44.1,Yes,5.9
167,Sales,9,35,39624,9.2,48.4,Yes,4.7
168,Marketing,4,47,52958,7.5,44.4,Yes,5.7
169,Engineering,8,49,44989,7.7,38.8,No,5.8
170,Sales,2,44,87809,2.3,32.3,No,5.8
171,Engineering,16,35,76545,1.9,32.5,No,6.7
172,Engineering,2,45,77271,6.1,33.4,No,7.5
173,HR,15,23,61809,1.2,39.9,No,5.1
174,Sales,3,47,79681,5.3,40.6,No,5.0
175,Sales,17,35,59876,2.9,44.3,Yes,4.5
176,HR,16,28,80387,4.1,31.0,No,5.0
177,Marketing,6,24,57769,8.0,46.6,Yes,4.9
178,Engineering,4,44,49811,9.5,43.5,Yes,6.4
179,Finance,11,39,87164,1.7,38.4,No,6.3
180,Engineering,16,59,59687,5.8,34.1,No,6.4
181,Engineering,12,56,46518,8.9,46.2,Yes,5.5
182,Marketing,2,36,46355,1.7,38.5,No,5.7
183,Engineering,8,46,46401,8.4,39.9,No,4.1
184,HR,16,58,72666,4.2,41.9,No,6.6
185,HR,16,49,58517,3.9,35.4,No,7.5
186,Sales,19,31,94469,9.8,38.6,No,5.4
187,Finance,15,38,77792,2.8,44.3,Yes,5.4
188,Engineering,12,43,63857,7.2,43.8,Yes,5.4
189,Engineering,18,47,81058,8.4,43.9,Yes,6.0
190,Marketing,16,46,52567,1.4,34.2,No,8.3
191,HR,3,38,32178,7.0,38.8,No,7.3
192,Finance,11,34,45156,9.6,38.0,No,5.8
193,Sales,8,41,62208,2.1,42.1,Yes,6.3
194,HR,18,46,56661,9.1,41.7,No,7.1
195,Sales,11,25,72366,6.4,40.8,No,6.3
196,Marketing,8,31,58130,6.5,52.3,Yes,4.8
197,Marketing,6,24,71220,6.5,38.5,No,6.6
198,Engineering,13,39,82514,3.7,38.0,No,5.5
199,Finance,19,57,58084,9.4,34.2,No,6.0
200,Sales,18,43,68327,9.5,32.3,No,5.7
201,HR,14,55,33678,6.6,33.9,No,6.9
202,Marketing,15,29,58141,8.1,36.4,No,6.2
203,Engineering,20,40,41520,6.5,46.6,Yes,4.5
204,Engineering,4,58,62178,5.4,40.2,No,5.8
205,Sales,2,27,63539,6.9,41.0,No,6.4
206,Marketing,11,47,63490,6.0,39.5,No,8.0
207,Finance,19,55,52798,6.4,41.8,No,6.8
208,Marketing,20,27,94477,8.1,47.0,Yes,3.0
209,Sales,3,58,40979,5.3,30.0,No,7.2
210,Sales,20,54,40062,1.4,46.1,Yes,6.8
211,Marketing,15,43,84824,2.5,27.4,No,5.9
212,Sales,6,42,49435,4.9,40.1,No,6.5
213,Marketing,12,27,45829,7.5,51.0,Yes,4.7
214,HR,20,27,94543,6.3,43.4,Yes,6.8
215,Marketing,9,25,74785,6.9,41.9,No,6.2
216,Marketing,6,51,51083,5.3,50.0,Yes,4.1
217,Sales,13,32,63262,6.5,36.5,No,6.1
218,Sales,4,51,89188,4.0,42.2,Yes,5.6
219,Engineering,2,52,70374,5.2,42.9,Yes,5.6
220,Engineering,10,45,79292,7.7,37.4,No,7.4
221,HR,10,30,72072,8.8,37.8,No,5.4
222,Engineering,17,24,73953,4.9,37.3,No,7.3
223,Marketing,14,52,60596,1.4,40.4,No,5.7
224,Sales,11,58,60170,2.5,42.7,Yes,6.0
225,Engineering,8,57,64005,1.2,40.6,No,6.0
226,Engineering,9,45,71016,6.9,43.5,Yes,5.6
227,HR,11,52,55750,4.0,30.2,No,7.0
228,HR,16,27,61830,5.9,38.9,No,7.6
229,Marketing,5,23,55344,5.4,34.9,No,7.4
230,Sales,6,41,61735,1.7,41.5,No,5.5
231,HR,13,49,41235,4.6,41.4,No,7.4
232,Engineering,12,32,99089,3.0,39.4,No,6.3
233,Sales,7,25,49005,4.8,42.6,Yes,6.1
234,Sales,9,36,54578,2.8,45.0,Yes,4.7
235,Engineering,8,27,47711,8.6,39.7,No,5.5
236,HR,17,51,69235,2.6,34.7,No,5.8
237,Engineering,1,59,57059,9.6,32.1,No,6.9
238,Sales,4,23,45542,4.7,40.2,No,6.6
239,Finance,4,36,69853,8.6,41.2,No,6.2
240,Finance,5,32,71874,6.7,35.2,No,8.1
241,Marketing,18,29,58996,7.6,43.6,Yes,4.8
242,Engineering,7,47,50045,7.9,37.7,No,6.3
243,Engineering,15,26,92865,5.5,31.7,No,5.5
244,Marketing,12,27,65101,5.9,46.3,Yes,4.4
245,Marketing,0,47,40888,5.6,45.7,Yes,6.7
246,Marketing,19,25,81210,6.3,29.9,No,6.5
247,Sales,16,40,47163,1.3,37.2,No,5.5
248,Engineering,6,41,101128,4.6,37.0,No,4.2
249,Sales,12,54,61194,6.5,48.2,Yes,4.4
250,Marketing,3,41,75199,6.4,39.5,No,5.8
251,Engineering,3,33,28799,8.1,32.5,No,5.4
252,Sales,5,22,40737,6.9,44.4,Yes,5.3
253,Sales,18,47,80007,9.9,33.8,No,7.9
254,Marketing,11,35,64767,3.6,38.7,No,5.4
255,Engineering,6,59,90635,4.2,36.2,No,5.4
256,Marketing,9,58,67277,4.5,37.2,No,5.2
257,Engineering,18,32,62179,5.2,44.7,Yes,4.4
258,Finance,6,57,85703,8.5,47.6,Yes,5.8
259,HR,2,34,75152,3.1,33.6,No,6.7
260,HR,12,24,57056,8.0,43.1,Yes,6.6
261,HR,12,54,43588,4.6,36.3,No,8.4
262,Marketing,17,27,24425,6.4,36.5,No,4.5
263,Finance,19,31,53435,6.7,42.5,Yes,6.1
264,Engineering,7,26,42204,4.4,34.9,No,5.4
265,Sales,8,44,98965,5.6,42.4,Yes,6.5
266,Engineering,6,31,50244,4.7,43.7,Yes,5.4
267,Sales,0,23,49834,1.6,37.8,No,6.2
268,Engineering,2,34,37181,4.9,46.6,Yes,4.1
269,Finance,12,23,56005,1.9,33.6,No,6.2
270,Sales,16,41,50031,4.6,46.7,Yes,5.4
271,Marketing,0,22,86065,6.3,30.3,No,8.3
272,Engineering,5,58,62527,6.2,53.5,Yes,3.9
273,Engineering,20,30,59867,7.0,38.0,No,5.6
274,Sales,5,38,57979,1.9,34.2,No,7.5
275,Marketing,11,30,71792,6.9,38.8,No,5.3
276,Marketing,12,32,53215,3.8,34.8,No,7.7
277,Finance,12,36,70008,4.6,41.9,No,5.8
278,Marketing,14,45,84209,8.7,46.8,Yes,5.6
279,Marketing,20,59,66901,1.1,35.0,No,6.9
280,Marketing,15,56,56254,6.3,42.9,Yes,5.1
281,HR,20,51,45698,6.4,32.3,No,7.2
282,Finance,10,52,55873,4.6,45.2,Yes,4.7
283,Engineering,4,26,68446,3.1,42.1,Yes,5.3
284,Sales,3,35,37012,3.1,45.4,Yes,6.0
285,Engineering,2,32,72473,9.0,39.4,No,6.4
286,Finance,18,30,63114,5.0,37.8,No,6.1
287,Sales,19,55,57762,4.0,44.1,Yes,4.3
288,Finance,17,33,50108,5.0,33.5,No,5.6
289,Marketing,14,56,52854,7.0,31.3,No,7.1
290,Sales,8,56,68959,2.3,40.0,No,6.7
291,Marketing,16,22,58076,5.0,38.1,No,5.1
292,Engineering,13,43,52482,6.3,42.8,Yes,4.9
293,Engineering,14,50,67028,9.5,45.5,Yes,5.6
294,Sales,0,29,67622,3.3,42.7,Yes,5.8
295,Sales,20,32,41262,4.2,45.1,Yes,3.9
296,Finance,2,58,68572,4.4,41.6,No,6.0
297,Finance,15,35,97525,6.4,42.5,Yes,5.2
298,Marketing,10,51,67044,4.2,39.4,No,7.7
299,Sales,11,56,34514,5.8,42.3,Yes,6.0
300,Engineering,9,42,62660,8.0,40.8,No,6.3
